BLOCK_NUMBER,BLOCK_TIMESTAMP,TX_HASH,ORIGIN_FROM_ADDRESS,ORIGIN_TO_ADDRESS,EVENT_INDEX,VAULT_NUMBER,COLLATERAL_TYPE,URN_ADDRESS,DEBT_TO_COVER_AMOUNT,COLLATERAL_LIQUIDATED_AMOUNT,DAI_REPAYED_AMOUNT
12525660,2021-05-28T23:00:24Z,0x5d9da11503a12123e476772aa92844d817c055245c75f1bf17cbdf54ecde3d71,0xd2c1b9b2edd04f03cd00b957fe04c5f4d9fbb88f,0x8717337d2755df53152897db31f61216ca5b3b31,166,23962,ETH-B,0xadb61d80e9fd984392e930c5d43f2c04f2013773,172645.4977,96.16370072,179830.4637
12684448,2021-06-22T14:07:13Z,0xa3353778fc44e47211a81565e4a12708b3471d080233e3bc3331d10163cf4151,0x1a7c5e18d3f9ae3e8664dd9cac9a1f1ad5bc707a,0x135954d155898d42c90d2a57824c690e0c7bef1b,158,23953,ETH-B,0xb39e65e7404014de056bdd59479491c9872188ea,57744.13435,44,60533.91464
12463369,2021-05-19T07:03:59Z,0x576e694a88b1bcdb9f93329579dae251598fa477939ea293d12b778b23b7abdd,0x1a7c5e18d3f9ae3e8664dd9cac9a1f1ad5bc707a,0x135954d155898d42c90d2a57824c690e0c7bef1b,124,23919,ETH-B,0x152e9cc2cb3bda2ee3f61bf0e0b1317688bc3a4a,14451.94452,6.573920518,15015.64457
12459368,2021-05-18T16:06:09Z,0x5e0494cdcdf7444460d1622fdb3a456b788fc49fc946c56669fe84ab90079950,0x1a7c5e18d3f9ae3e8664dd9cac9a1f1ad5bc707a,0x135954d155898d42c90d2a57824c690e0c7bef1b,336,23865,ETH-B,0x26eafdbf2ce7b7396abd48de72cc69e71b9f7b8b,44984.13028,18.06062332,46730.35511
12465537,2021-05-19T15:06:22Z,0x345b5063f607ac26a6969bbd4dc05d4c9df386a3bc3bd776b22aeb7d8bb9cd65,0x1a7c5e18d3f9ae3e8664dd9cac9a1f1ad5bc707a,0x135954d155898d42c90d2a57824c690e0c7bef1b,155,23614,ETH-B,0x1afa9cee78634a6efe981c1589fff2dd57c535e6,1672951.663,867.24,1738360.211
12490998,2021-05-23T14:08:35Z,0xd744637b9cc52f7bea739360e9789d686568dcd0ea5e90c6dc4a1ad529182f71,0xd2c1b9b2edd04f03cd00b957fe04c5f4d9fbb88f,0x8717337d2755df53152897db31f61216ca5b3b31,40,23570,ETH-B,0xec57db6171b2927ae70b98b1cdb86742067263c4,25616.62946,17.48780248,26645.6904
12464743,2021-05-19T12:13:58Z,0xc4179a6062cabd34012c9cdedbaedce20a025860f5146800df511bd3c6bdcbf0,0x1a7c5e18d3f9ae3e8664dd9cac9a1f1ad5bc707a,0x135954d155898d42c90d2a57824c690e0c7bef1b,226,23511,ETH-B,0x62cbaca8699222815aa4889a62a915ecf0faf776,147447.122,67.3,153207.3762
14757395,2022-05-11T22:04:04Z,0x2d1470025be43e3101e0c1cad078407c7a969a8acf18e0701d77256b731c6c64,0xb8bbf36ba36fc78f3f137c514af33709fffba604,0x135954d155898d42c90d2a57824c690e0c7bef1b,162,23496,ETH-B,0x8d70a4b5eabe5238057aba6f002379abf736e0ee,28600.20152,20,31441.11527
12449923,2021-05-17T05:01:45Z,0x5a3ca211855a40c8915031c583d7748821df99f456eec90e142d2fff6f4b4925,0x1a7c5e18d3f9ae3e8664dd9cac9a1f1ad5bc707a,0x135954d155898d42c90d2a57824c690e0c7bef1b,142,23477,ETH-B,0x4318ee2081a698331919a44be4f74e07235953c0,315172.9571,129,327289.2398
12465540,2021-05-19T15:07:07Z,0xe79e20175e036c0f259465d63093e6dd0e00682e51ec8b25bc33311aaeb61ca8,0x1a7c5e18d3f9ae3e8664dd9cac9a1f1ad5bc707a,0x135954d155898d42c90d2a57824c690e0c7bef1b,290,23397,ETH-B,0x193128597d0e4e23a1f1c4e330c2b56ba4acba26,14444.57024,7.5,15009.31959
14051941,2022-01-21T23:47:37Z,0xcbed9656d3fca9cb0e965a33635fceac87231c4f1c35eaed182c46a3a8991e05,0xb8bbf36ba36fc78f3f137c514af33709fffba604,0x135954d155898d42c90d2a57824c690e0c7bef1b,188,21892,ETH-B,0xfec2c8d156742bc1788635f96348adeb06c27d23,60523.28545,31.2308,65682.54115
12327803,2021-04-28T08:24:59Z,0xabf56725f6979a06cd588d7e23902ea94d67fcd5c32c0e636c0db6baec64460c,0x1acb45ed8939f76d110aa0e16bb57cac548e5af0,0x999ac4018e4b6ac38f575ccf728a85e11e0e2bbd,17,21348,ETH-B,0x8de952e01ac7d6341ff016ee76a97fc884880502,42818.74708,22.16928937,44247.78761
12327936,2021-04-28T08:50:21Z,0xf665fa2a9764c7fdfffb78dcea44b3a641f8b7eba448694fff96dfc2cbba35c1,0x1acb45ed8939f76d110aa0e16bb57cac548e5af0,0x999ac4018e4b6ac38f575ccf728a85e11e0e2bbd,30,21348,ETH-B,0x8de952e01ac7d6341ff016ee76a97fc884880502,42818.569,22.16919716,44247.78761
