BLOCK_NUMBER,BLOCK_TIMESTAMP,VAULT_NUMBER,ILK,URN_ADDRESS
11302749,2020-11-21 17:14:51.000,17139,ETH-B,0x8b3b6280d5f555b994e534986cf680afd6da8518
11352254,2020-11-29 07:24:31.000,17524,ETH-B,0xd768ae44bcac5767c4e2d27a0237cf8f4b99c46f
11316142,2020-11-23 18:41:38.000,17253,ETH-B,0x6a62803b88088e848e0bd5b9fd727ca6f00af77f
12363310,2021-05-03 20:07:32.000,23437,ETH-B,0xef03590f5652cdea4e3b811434e4d64f6ed3ca65
12463777,2021-05-19 08:40:22.000,23944,ETH-B,0xade83b886645a8119980da43ded208fac91d70b5
12466054,2021-05-19 16:58:51.000,23964,ETH-B,0xf9bc0886fb9b2d8fbc9a3aa2492c0153f5eb0626
12234303,2021-04-13 21:56:25.000,22810,ETH-B,0x9d1a611f39796903da9ad332c2d02a93c1fd6cae
11961001,2021-03-02 20:27:26.000,21633,ETH-B,0xeff4fa5da83a3aaff826fb7ee0b85aba1c30c0fa
12469133,2021-05-20 04:39:30.000,23989,ETH-B,0xd04b846984433556806b4c4f57455c96d3c8344e
12459754,2021-05-18 17:35:43.000,23919,ETH-B,0x152e9cc2cb3bda2ee3f61bf0e0b1317688bc3a4a
12054946,2021-03-17 07:56:31.000,22058,ETH-B,0x858459e2d5bb38adb8a4bf464e27eb9dc1bac0b7
12339007,2021-04-30 01:55:46.000,23289,ETH-B,0xe75e3b3b48cb8351ab0d7fd255799f4c3d6f05a8
11946422,2021-02-28 14:39:01.000,21516,ETH-B,0x6ee33795bc8581e42f9fefc971d1f033d0bae20b
12383541,2021-05-06 22:45:26.000,23570,ETH-B,0xec57db6171b2927ae70b98b1cdb86742067263c4
12371213,2021-05-05 01:20:11.000,23496,ETH-B,0x8d70a4b5eabe5238057aba6f002379abf736e0ee
11943958,2021-02-28 05:24:37.000,21496,ETH-B,0x369223674ac5c8174a7b240a31efc96b37b61c8e
12154922,2021-04-01 17:24:07.000,22394,ETH-B,0x42ed41aedfea0b398945a74304f4668895f76f05
13642923,2021-11-19 01:56:21.000,26610,ETH-B,0x499edb6e455d2977a957ce13f54cdd70b47e8cac
12502738,2021-05-25 09:38:56.000,24206,ETH-B,0x8f7f5223c1330079dd12aee3bfe939489412c8b1
12684628,2021-06-22 14:48:45.000,24755,ETH-B,0xf353541766d8420198f72e0eada7fd6e6a3697e9
12642414,2021-06-16 00:47:47.000,24635,ETH-B,0x0c896fbde4592e583ca9c211605f01663069da23
13632541,2021-11-17 11:00:08.000,26568,ETH-B,0xf945a814ef299dfbc2fe1b4a305c83ca9ba8659d
12864055,2021-07-20 14:53:29.000,25064,ETH-B,0xd4718a435bfba314ab99797e0b75f388fb3aef8f
12711673,2021-06-26 20:07:42.000,24820,ETH-B,0x8fd3b6f0923837060cde2a21f572f31a6bceba8f
13062689,2021-08-20 14:35:46.000,25372,ETH-B,0xf02c239c4b9c9d067dd57dc19f27cf5aaa3f628a
12691413,2021-06-23 16:18:12.000,24779,ETH-B,0x04b76d26a376b39664196e569b1a3e90c99dc1f8
13764853,2021-12-08 12:41:05.000,26877,ETH-B,0xfbdf45d498c406118a3e76ef38d96c67f1f41cf7
13347593,2021-10-03 17:29:46.000,25932,ETH-B,0x523031543678d75180b55ec9dc4d00d1acaae572
12514821,2021-05-27 06:29:18.000,24266,ETH-B,0xb63c71121ab6d404575ed6ebdfdde13bd6113f82
13487643,2021-10-25 16:22:35.000,26238,ETH-B,0x0cf379868505779c1789175afa47b8e748cb2995
13282054,2021-09-23 12:40:55.000,25808,ETH-B,0xb0b853d921961d932ef59a07229af3c523ee65d2
12584605,2021-06-07 01:51:24.000,24463,ETH-B,0xc8cf7b53273c8217ee37a959c92482e71ca72dcc
13740605,2021-12-04 15:36:33.000,26830,ETH-B,0x962857bb5087d9e4bda0c694b16254d98756be18
12617624,2021-06-12 04:37:16.000,24543,ETH-B,0x3793c88fb8f2e0f55121d04ca6a2fe5521687e48
13150154,2021-09-03 02:48:54.000,25514,ETH-B,0xcc909b4c446f7635c96c7e31cf0d130c7fd4e275
12690750,2021-06-23 13:54:22.000,24776,ETH-B,0xba4dd8d528ab87ba8acfa8fb783e06744d64e624
12482387,2021-05-22 05:57:22.000,24075,ETH-B,0x0ae2f265291f0a979305c75fd5c81e4af9140348
13455621,2021-10-20 16:16:19.000,26157,ETH-B,0xe53efc08c5469caf2b98597e07944e32dfa27f0a
13533017,2021-11-01 19:27:22.000,26327,ETH-B,0x9843762b57eb88d1ba73a64e7fbc179317b7df69
13667874,2021-11-23 01:11:36.000,26672,ETH-B,0xc826c1de8c1b209fddd8bce19605e907216acff1
12671146,2021-06-20 12:11:38.000,24714,ETH-B,0xb5adf49255f790489d924f3501029af0f00ec962
12500268,2021-05-25 00:17:53.000,24189,ETH-B,0x2131d36c289e25fe589af17eca551e806bb53dc8
12592457,2021-06-08 07:10:32.000,24478,ETH-B,0x9231ae9184714c4db4093a7f40bfcf63f0fc02a3
12498123,2021-05-24 16:32:28.000,24170,ETH-B,0x05bdd79ace4993a1b35e57c5e7d17ff01e6a0a5d
12624870,2021-06-13 07:53:21.000,24560,ETH-B,0x2d6b09c5910cce682ae4568d71460ce8ca5492ba
13368235,2021-10-06 23:01:46.000,25973,ETH-B,0x8ece10c6286f4379580695cf5606644fe088d0cc
12478772,2021-05-21 16:32:37.000,24052,ETH-B,0x4fc870c897462df7199a858966ec47a077674ee3
12676154,2021-06-21 06:56:04.000,24732,ETH-B,0x8ad3e4923d3864f3ba8d4392dd7e3d3da059613f
13583871,2021-11-09 18:55:32.000,26458,ETH-B,0x0469c860660e15a40282fa58c22e599d491c7275
12662343,2021-06-19 03:07:07.000,24696,ETH-B,0x2e8981c50b6125babae64f8af17bf48c8d5403e8
12966404,2021-08-05 17:50:38.000,25220,ETH-B,0xea052a7c3422734a0cab18cf5cab723ef6fe9555
12500251,2021-05-25 00:12:37.000,24188,ETH-B,0x8923307849fea9877400fa6e34581d4354a7714e
13474676,2021-10-23 15:50:39.000,26206,ETH-B,0x0602feedf45f740f198894a3eefbafe818412cce
12686076,2021-06-22 20:04:15.000,24760,ETH-B,0xe505eb332b3465dc423327b88e6a3caa91192d07
11484889,2020-12-19 16:50:13.000,18192,ETH-B,0x259966411d651e55e10c69729bb24a501b568cc9
11527052,2020-12-26 04:20:25.000,18416,ETH-B,0x336cf00debc3a272948ad6640f8bed4b758aa7a7
11577385,2021-01-02 21:09:30.000,18804,ETH-B,0x784ae3ce1ccc95070fb07173a75bc84532fb4035
11620966,2021-01-09 13:58:24.000,19166,ETH-B,0xaf5b1064c1d10148853fccf9712e707792bda6ad
11585454,2021-01-04 03:03:22.000,18891,ETH-B,0xe483c7f64cda3fb0600c3614f0a53685b066d25c
11613537,2021-01-08 10:30:16.000,19107,ETH-B,0xa45332ca679eda5ffbd81836f485434e81adf869
11598591,2021-01-06 03:32:43.000,18986,ETH-B,0x521a5fb4c11eae1698cd033fc4300dc1f4b0e650
11706460,2021-01-22 16:50:04.000,20023,ETH-B,0x3375fa22b2312377edb8b0b0f61d70fede494e4c
11475954,2020-12-18 07:53:47.000,18129,ETH-B,0xcacb757697504cf8af569c913c698580534cc8d4
11640635,2021-01-12 14:30:26.000,19363,ETH-B,0xbff0c8fc8cd2e4bde0912c77d0aa07553f63a390
11541339,2020-12-28 08:32:29.000,18524,ETH-B,0x0cc393d9b1a09cad19b4c706be11efce3739c00c
11633403,2021-01-11 11:42:47.000,19286,ETH-B,0x4a5eeded5fa9c975b04c1c3a132ac789ac208004
11636675,2021-01-11 23:40:51.000,19318,ETH-B,0x0f4fcf726ab928ebfa8106ca2aa78e8dcdc2eea7
11515064,2020-12-24 07:51:18.000,18359,ETH-B,0xd294987d1ce970aaa29c1eee59e63c9ccded605f
11829498,2021-02-10 15:12:17.000,20821,ETH-B,0x1f5cda682ffc0bdd7ca44534e518908a7cf33420
