"day","dai_minted","dai_repaid","sum_dai","dai_delta","dai_outstanding","TO_VALUE","implied_revenue","price","RSI","rsi_status"
2021-02-16,10000,12851.813441365,0,-2851.813441365,49698462.4908657,0.075,10212.0128405888,1775.758352,64.0078544795966,"in-between"
2021-02-17,11020.014317208,19998.539720368,0,-8978.52540316,49689483.9654625,0.075,10210.1679381087,1782.575309,64.3161562069682,"in-between"
2021-02-18,109544.804813712,255038.88789389,0,-145494.083080178,49543989.8823824,0.075,10180.2718936402,1845.573922,67.1192346803819,"in-between"
2021-02-19,245501.102117467,117970.320605988,0,127530.781511479,49671520.6638938,0.075,10206.4768487453,1938.569437,70.769433782346,"Overbought"
2021-02-20,21000.979335095,47461.224727488,0,-26460.245392393,49645060.4185014,0.075,10201.0398120208,1969.979718,71.9039592813015,"Overbought"
2021-02-21,121945.72,106138.827107149,0,15806.892892851,49660867.3113943,0.075,10204.2878037112,1929.367693,68.2172511637434,"in-between"
2021-02-22,603080.98554112,623191.076888982,0,-20110.0913478619,49640757.2200464,0.075,10200.1555931602,1941.426768,68.72994562019,"in-between"
2021-02-23,10755960.8984972,9213461.68892952,1549834.66645725,-7335.45688954554,49633421.7631569,0.075,10198.648307498,1788.61521,56.3296717506919,"in-between"
2021-02-24,96569.3,104471.705721655,0,-7902.405721655,49625519.3574352,0.075,10197.0245255004,1563.924606,43.8127131391417,"in-between"
2021-02-25,405581.236528194,485644.011900778,0,-80062.775372584,49545456.5820626,0.075,10180.5732702868,1628.391534,47.4226300102067,"in-between"
2021-02-26,7921376.69656978,7864368.34493005,0,57008.3516397243,49602464.9337024,0.075,10192.2873151443,1468.860104,40.4899610285633,"in-between"
2021-02-27,566774.992263384,575226.631554326,0,-8451.639290942,49594013.2944114,0.075,10190.5506769339,1450.988747,39.7882383778779,"in-between"
2021-02-28,9616481.97903726,9615044.80013677,9812.933524676,-8375.75462418269,49585637.5397872,0.075,10188.8296314631,1480.129577,41.5665534508697,"in-between"
2021-03-01,2268355.41082001,2278921.74793196,0,-10566.3371119499,49575071.2026753,0.075,10186.6584663031,1416.661553,38.8736519912912,"in-between"
2021-03-02,277772.803388139,360574.902743637,0,-82802.099355498,49492269.1033198,0.075,10169.6443362986,1570.39969,47.710584761605,"in-between"
2021-03-03,72022.185395325,2111.634511759,0,69910.550883566,49562179.6542034,0.09,12220.8114215844,1497.089104,44.4133038902446,"in-between"
2021-03-04,0,8054.126122656,0,-8054.126122656,49554125.5280807,0.09,12218.8254726774,1579.427169,48.7014077880886,"in-between"
2021-03-05,144482.682029696,162782.585570321,0,-18299.903540625,49535825.6245401,0.09,12214.3131676948,1546.499621,47.1354309364594,"in-between"
2021-03-06,233597.283516028,247236.534078578,0,-13639.25056255,49522186.3739775,0.09,12210.9500648164,1539.048429,46.7689490789125,"in-between"
2021-03-07,16837287.9652697,16849263.1377366,0,-11975.1724668369,49510211.2015107,0.09,12207.9972825643,1661.92797,53.2274869746966,"in-between"
2021-03-09,1566291.55846578,1583610.51860408,0,-17318.9601383018,49492892.2413724,0.09,12203.726854037,1837.533031,60.8837842738622,"in-between"
2021-03-10,60000,72568.485581795,0,-12568.485581795,49480323.7557906,0.09,12200.6277754004,1869.331102,62.1258745379813,"in-between"
2021-03-11,195353.420311717,208774.122573129,0,-13420.702261412,49466903.0535292,0.09,12197.3185611442,1802.311092,57.9491862561597,"in-between"
2021-03-12,0,552.513922489,0,-552.513922489,49466350.5396067,0.09,12197.1823248345,1826.057477,59.0009331085619,"in-between"
2021-03-13,0,18179.954761722,0,-18179.954761722,49448170.584845,0.09,12192.6995962631,1770.936179,55.5290606868018,"in-between"
2021-03-15,0,4869.180656837,0,-4869.180656837,49443301.4041881,0.09,12191.4989763752,1866.071545,58.5352014768361,"in-between"
2021-03-16,154744.171614856,190218.642859429,0,-35474.471244573,49407826.9329436,0.09,12182.7518464792,1791.047852,54.2190123684605,"in-between"
2021-03-17,496100.05511702,512433.127139703,0,-16333.072022683,49391493.8609209,0.09,12178.7245136517,1808.551217,55.051741976824,"in-between"
2021-03-18,21000,33438.867805627,0,-12438.867805627,49379054.9931153,0.09,12175.6573955627,1828.754833,56.0455756006822,"in-between"
2021-03-19,123500,131326.826486517,0,-7826.82648651701,49371228.1666287,0.09,12173.7274931413,1780.159646,53.0095609469357,"in-between"
2021-03-20,190090.424415361,202221.625129239,0,-12131.200713878,49359096.9659149,0.09,12170.7362381708,1817.132963,55.0066203609786,"in-between"
2021-03-21,414976.174061878,440775.131757184,0,-25798.957695306,49333298.0082196,0.09,12164.3748513418,1817.860143,55.0470851737245,"in-between"
2021-03-22,804488.590441564,862092.685088443,0,-57604.094646879,49275693.9135727,0.09,12150.1711019768,1790.378075,53.103324474544,"in-between"
2021-03-23,129045,90928.487342498,0,38116.512657502,49313810.4262302,0.09,12159.5696941389,1686.891197,46.4516609022647,"in-between"
2021-03-24,582298.663679275,590978.506000835,0,-8679.84232156002,49305130.5839086,0.09,12157.429459046,1673.859184,45.6757617691684,"in-between"
2021-03-25,782254.957078878,790275.833289329,0,-8020.87621045101,49297109.7076982,0.09,12155.4517087475,1581.631056,40.5177122424875,"in-between"
2021-03-26,427795.373690626,64960.404576715,0,362834.969113911,49659944.6768121,0.09,12244.9178655153,1587.297964,40.9588981326379,"in-between"
2021-03-28,307693.466357364,333528.582437589,0,-25835.116080225,49634109.5607319,0.09,12238.5475629202,1713.837876,49.9576036463923,"in-between"
